U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,
-0.043506,-0.012617,0,1,0.519,0.519,0.5,0.1,0.045298573
-0.043545,-0.013129,0,1,0.52,0.52,0.5,0.1,0.045481179
-0.043583,-0.013642,0,1,0.521,0.521,0.5,0.1,0.045668173
-0.043622,-0.014154,0,1,0.522,0.522,0.5,0.1,0.045860818
-0.04366,-0.014666,0,1,0.523,0.523,0.5,0.1,0.046057433
-0.043699,-0.015178,0,1,0.524,0.524,0.5,0.1,0.046259856
-0.043737,-0.01569,0,1,0.525,0.525,0.5,0.1,0.04646613
-0.043776,-0.016202,0,1,0.526,0.526,0.5,0.1,0.046678078
-0.043814,-0.016714,0,1,0.527,0.527,0.5,0.1,0.046893756
-0.043853,-0.017226,0,1,0.528,0.528,0.5,0.1,0.047114973
-0.043891,-0.017739,0,1,0.529,0.529,0.5,0.1,0.047340173
-0.04393,-0.018251,0,1,0.53,0.53,0.5,0.1,0.04757041
-0.043967,-0.018764,0,1,0.531,0.531,0.5,0.1,0.047803606
-0.044005,-0.019277,0,1,0.532,0.532,0.5,0.1,0.048042094
-0.044043,-0.01979,0,1,0.533,0.533,0.5,0.1,0.048284883
-0.04408,-0.020303,0,1,0.534,0.534,0.5,0.1,0.048531003
-0.044118,-0.020816,0,1,0.535,0.535,0.5,0.1,0.048782208
-0.044156,-0.021329,0,1,0.536,0.536,0.5,0.1,0.049037522
-0.044194,-0.021842,0,1,0.537,0.537,0.5,0.1,0.049296882
-0.044231,-0.022355,0,1,0.538,0.538,0.5,0.1,0.049559332
-0.044269,-0.022867,0,1,0.539,0.539,0.5,0.1,0.049826138
-0.044307,-0.02338,0,1,0.54,0.54,0.5,0.1,0.050097252
-0.044343,-0.023895,0,1,0.541,0.541,0.5,0.1,0.050371348
-0.04438,-0.024409,0,1,0.542,0.542,0.5,0.1,0.050649617
-0.044417,-0.024924,0,1,0.543,0.543,0.5,0.1,0.050932069
-0.044453,-0.025438,0,1,0.544,0.544,0.5,0.1,0.051216804
-0.04449,-0.025953,0,1,0.545,0.545,0.5,0.1,0.051506488
-0.044527,-0.026467,0,1,0.546,0.546,0.5,0.1,0.051799187
-0.044563,-0.026982,0,1,0.547,0.547,0.5,0.1,0.052095003
-0.0446,-0.027496,0,1,0.548,0.548,0.5,0.1,0.052394561
-0.044636,-0.028011,0,1,0.549,0.549,0.5,0.1,0.052697141
-0.044673,-0.028525,0,1,0.55,0.55,0.5,0.1,0.053003326
-0.044708,-0.029042,0,1,0.551,0.551,0.5,0.1,0.053312691
-0.044743,-0.029559,0,1,0.552,0.552,0.5,0.1,0.053625279
-0.044779,-0.030075,0,1,0.553,0.553,0.5,0.1,0.053941306
-0.044814,-0.030592,0,1,0.554,0.554,0.5,0.1,0.054260161
-0.044849,-0.031108,0,1,0.555,0.555,0.5,0.1,0.054581503
-0.044884,-0.031625,0,1,0.556,0.556,0.5,0.1,0.054906412
-0.044919,-0.032142,0,1,0.557,0.557,0.5,0.1,0.055234271
-0.044955,-0.032658,0,1,0.558,0.558,0.5,0.1,0.05556525
-0.04499,-0.033175,0,1,0.559,0.559,0.5,0.1,0.055898844
-0.045025,-0.033692,0,1,0.56,0.56,0.5,0.1,0.056235234
-0.045058,-0.034211,0,1,0.561,0.561,0.5,0.1,0.056573986
-0.045092,-0.03473,0,1,0.562,0.562,0.5,0.1,0.056916266
-0.045125,-0.03525,0,1,0.563,0.563,0.5,0.1,0.057261052
-0.045158,-0.035769,0,1,0.564,0.564,0.5,0.1,0.057607867
-0.045192,-0.036289,0,1,0.565,0.565,0.5,0.1,0.057958678
-0.045225,-0.036808,0,1,0.566,0.566,0.5,0.1,0.058310629
-0.045258,-0.037328,0,1,0.567,0.567,0.5,0.1,0.058665715
-0.045292,-0.037847,0,1,0.568,0.568,0.5,0.1,0.059023391
-0.045325,-0.038367,0,1,0.569,0.569,0.5,0.1,0.05938335
-0.045358,-0.038886,0,1,0.57,0.57,0.5,0.1,0.059745035
-0.045389,-0.039409,0,1,0.571,0.571,0.5,0.1,0.060110154
-0.045421,-0.039932,0,1,0.572,0.572,0.5,0.1,0.060478359
-0.045452,-0.040455,0,1,0.573,0.573,0.5,0.1,0.0608481
-0.045483,-0.040978,0,1,0.574,0.574,0.5,0.1,0.061220093
-0.045514,-0.041502,0,1,0.575,0.575,0.5,0.1,0.061594969
-0.045545,-0.042025,0,1,0.576,0.576,0.5,0.1,0.061971345
-0.045576,-0.042548,0,1,0.577,0.577,0.5,0.1,0.062349852
-0.045607,-0.043071,0,1,0.578,0.578,0.5,0.1,0.062730451
-0.045639,-0.043594,0,1,0.579,0.579,0.5,0.1,0.063113827
-0.04567,-0.044117,0,1,0.58,0.58,0.5,0.1,0.063498493
-0.045698,-0.044645,0,1,0.581,0.581,0.5,0.1,0.063886487
-0.045727,-0.045173,0,1,0.582,0.582,0.5,0.1,0.0642772
-0.045756,-0.045701,0,1,0.583,0.583,0.5,0.1,0.064669877
-0.045784,-0.046228,0,1,0.584,0.584,0.5,0.1,0.065063067
-0.045813,-0.046756,0,1,0.585,0.585,0.5,0.1,0.065459564
-0.045842,-0.047284,0,1,0.586,0.586,0.5,0.1,0.06585792
-0.04587,-0.047812,0,1,0.587,0.587,0.5,0.1,0.066257409
-0.045899,-0.04834,0,1,0.588,0.588,0.5,0.1,0.066659386
-0.045928,-0.048868,0,1,0.589,0.589,0.5,0.1,0.067063124
-0.045956,-0.049395,0,1,0.59,0.59,0.5,0.1,0.067467177
-0.045982,-0.049929,0,1,0.591,0.591,0.5,0.1,0.067876722
-0.046008,-0.050463,0,1,0.592,0.592,0.5,0.1,0.068287996
-0.046034,-0.050997,0,1,0.593,0.593,0.5,0.1,0.068700969
-0.04606,-0.051531,0,1,0.594,0.594,0.5,0.1,0.06911561
-0.046086,-0.052065,0,1,0.595,0.595,0.5,0.1,0.069531889
-0.046112,-0.052599,0,1,0.596,0.596,0.5,0.1,0.069949777
-0.046138,-0.053133,0,1,0.597,0.597,0.5,0.1,0.070369246
-0.046164,-0.053666,0,1,0.598,0.598,0.5,0.1,0.070789508
-0.04619,-0.0542,0,1,0.599,0.599,0.5,0.1,0.07121205
-0.046215,-0.054734,0,1,0.6,0.6,0.5,0.1,0.071635445
-0.046239,-0.055276,0,1,0.601,0.601,0.5,0.1,0.072065812
-0.046262,-0.055817,0,1,0.602,0.602,0.5,0.1,0.072496277
-0.046285,-0.056359,0,1,0.603,0.603,0.5,0.1,0.072928994
-0.046308,-0.0569,0,1,0.604,0.604,0.5,0.1,0.073362394
-0.046331,-0.057442,0,1,0.605,0.605,0.5,0.1,0.073798001
